,nb1,nb2,modèle,nb_params
106,100,150,ModelOneVsRest_SharedPrivate_4Per4,2406545
107,100,150,hier,98555
108,100,150,hier_connected,99005
109,100,150,hier_fully_connected,99305
110,200,5,ModelBaseline_OneVsRest,606055
111,200,5,ModelOneVsRest_AllShared,125255
112,200,5,ModelOneVsRest_SharedPrivate,140255
113,200,5,ModelOneVsRest_All_shared_2Per2,1221240
114,200,5,ModelOneVsRest_SharedPrivate_2Per2,1282245
115,200,5,ModelOneVsRest_SharedPrivate_2Per2wORandom,890561
116,200,5,ModelOneVsRest_SharedPrivate_3Per3,1322365
117,200,5,ModelOneVsRest_SharedPrivate_4Per4,681245
118,200,5,hier,121655
119,200,5,hier_connected,121670
120,200,5,hier_fully_connected,121680
121,200,20,ModelBaseline_OneVsRest,621205
122,200,20,ModelOneVsRest_AllShared,140405
123,200,20,ModelOneVsRest_SharedPrivate,200405
124,200,20,ModelOneVsRest_All_shared_2Per2,1278825
125,200,20,ModelOneVsRest_SharedPrivate_2Per2,1522845
126,200,20,ModelOneVsRest_SharedPrivate_2Per2wORandom,1037951
127,200,20,ModelOneVsRest_SharedPrivate_3Per3,1683265
128,200,20,ModelOneVsRest_SharedPrivate_4Per4,921845
129,200,20,hier,125105
130,200,20,hier_connected,125165
131,200,20,hier_fully_connected,125205
132,200,50,ModelBaseline_OneVsRest,651505
133,200,50,ModelOneVsRest_AllShared,170705
134,200,50,ModelOneVsRest_SharedPrivate,320705
135,200,50,ModelOneVsRest_All_shared_2Per2,1393995
136,200,50,ModelOneVsRest_SharedPrivate_2Per2,2004045
137,200,50,ModelOneVsRest_SharedPrivate_2Per2wORandom,1332731
138,200,50,ModelOneVsRest_SharedPrivate_3Per3,2405065
139,200,50,ModelOneVsRest_SharedPrivate_4Per4,1403045
140,200,50,hier,133355
141,200,50,hier_connected,133505
142,200,50,hier_fully_connected,133605
143,200,100,ModelBaseline_OneVsRest,702005
144,200,100,ModelOneVsRest_AllShared,221205
145,200,100,ModelOneVsRest_SharedPrivate,521205
146,200,100,ModelOneVsRest_All_shared_2Per2,1585945
147,200,100,ModelOneVsRest_SharedPrivate_2Per2,2806045
148,200,100,ModelOneVsRest_SharedPrivate_2Per2wORandom,1824031
149,200,100,ModelOneVsRest_SharedPrivate_3Per3,3608065
150,200,100,ModelOneVsRest_SharedPrivate_4Per4,2205045
151,200,100,hier,151105
152,200,100,hier_connected,151405
153,200,100,hier_fully_connected,151605
154,200,150,ModelBaseline_OneVsRest,752505
155,200,150,ModelOneVsRest_AllShared,271705
156,200,150,ModelOneVsRest_SharedPrivate,721705
157,200,150,ModelOneVsRest_All_shared_2Per2,1777895
158,200,150,ModelOneVsRest_SharedPrivate_2Per2,3608045
159,200,150,ModelOneVsRest_SharedPrivate_2Per2wORandom,2315331
160,200,150,ModelOneVsRest_SharedPrivate_3Per3,4811065
161,200,150,ModelOneVsRest_SharedPrivate_4Per4,3007045
162,200,150,hier,173855
163,200,150,hier_connected,174305
164,200,150,hier_fully_connected,174605
165,300,5,ModelBaseline_OneVsRest,909055
166,300,5,ModelOneVsRest_AllShared,187855
167,300,5,ModelOneVsRest_SharedPrivate,202855
168,300,5,ModelOneVsRest_All_shared_2Per2,1831740
169,300,5,ModelOneVsRest_SharedPrivate_2Per2,1893245
170,300,5,ModelOneVsRest_SharedPrivate_2Per2wORandom,1317761
171,300,5,ModelOneVsRest_SharedPrivate_3Per3,1938365
172,300,5,ModelOneVsRest_SharedPrivate_4Per4,991745
173,300,5,hier,182455
174,300,5,hier_connected,182470
175,300,5,hier_fully_connected,182480
176,300,20,ModelBaseline_OneVsRest,931705
177,300,20,ModelOneVsRest_AllShared,210505
178,300,20,ModelOneVsRest_SharedPrivate,270505
179,300,20,ModelOneVsRest_All_shared_2Per2,1917825
180,300,20,ModelOneVsRest_SharedPrivate_2Per2,2163845
181,300,20,ModelOneVsRest_SharedPrivate_2Per2wORandom,1484651
182,300,20,ModelOneVsRest_SharedPrivate_3Per3,2344265
183,300,20,ModelOneVsRest_SharedPrivate_4Per4,1262345
184,300,20,hier,187405
185,300,20,hier_connected,187465
186,300,20,hier_fully_connected,187505
187,300,50,ModelBaseline_OneVsRest,977005
188,300,50,ModelOneVsRest_AllShared,255805
189,300,50,ModelOneVsRest_SharedPrivate,405805
190,300,50,ModelOneVsRest_All_shared_2Per2,2089995
191,300,50,ModelOneVsRest_SharedPrivate_2Per2,2705045
192,300,50,ModelOneVsRest_SharedPrivate_2Per2wORandom,1818431
193,300,50,ModelOneVsRest_SharedPrivate_3Per3,3156065
194,300,50,ModelOneVsRest_SharedPrivate_4Per4,1803545
195,300,50,hier,198655
196,300,50,hier_connected,198805
197,300,50,hier_fully_connected,198905
198,300,100,ModelBaseline_OneVsRest,1052505
199,300,100,ModelOneVsRest_AllShared,331305
200,300,100,ModelOneVsRest_SharedPrivate,631305
201,300,100,ModelOneVsRest_All_shared_2Per2,2376945
202,300,100,ModelOneVsRest_SharedPrivate_2Per2,3607045
203,300,100,ModelOneVsRest_SharedPrivate_2Per2wORandom,2374731
204,300,100,ModelOneVsRest_SharedPrivate_3Per3,4509065
205,300,100,ModelOneVsRest_SharedPrivate_4Per4,2705545
206,300,100,hier,221405
207,300,100,hier_connected,221705
208,300,100,hier_fully_connected,221905
209,300,150,ModelBaseline_OneVsRest,1128005
210,300,150,ModelOneVsRest_AllShared,406805
211,300,150,ModelOneVsRest_SharedPrivate,856805
212,300,150,ModelOneVsRest_All_shared_2Per2,2663895
213,300,150,ModelOneVsRest_SharedPrivate_2Per2,4509045
214,300,150,ModelOneVsRest_SharedPrivate_2Per2wORandom,2931031
215,300,150,ModelOneVsRest_SharedPrivate_3Per3,5862065
216,300,150,ModelOneVsRest_SharedPrivate_4Per4,3607545
217,300,150,hier,249155
218,300,150,hier_connected,249605
219,300,150,hier_fully_connected,249905
