,F1 Micro,F1 Macro,ACC MACRO,AUNU,AUNP,model,time,type_parm
0,0.5421962379257753,0.30173744581229284,0.8168784951703101,0.5648537773604099,0.5784867700836973,MultiClass,8.076290845870972,Très Faible
0,0.5719369598373157,0.42262708271413657,0.8287747839349263,0.6232833167935682,0.6240405102448373,MultiClass,8.37168550491333,Faible
0,0.5837569903406202,0.47823416090760285,0.8335027961362481,0.6552578587049724,0.65672866363231,MultiClass,9.359771728515625,Moyen
0,0.5829944077275038,0.4719504915096466,0.8331977630910015,0.6535082956491483,0.6524824672425504,MultiClass,12.85898232460022,Fort
0,0.5840111845449923,0.46554306499261333,0.833604473817997,0.6464562473623866,0.651234209305382,MultiClass,18.443300485610962,Très Fort
0,0.5665988815455008,0.4393343506076211,0.8266395526182002,0.6346780667465588,0.6323126940052013,OR,18.87415313720703,Très Faible
0,0.5700305033045246,0.46178136301133843,0.8280122013218099,0.6487341863072289,0.643113930412311,OR,20.725347757339478,Faible
0,0.576258261311642,0.4731812796385982,0.8305033045246569,0.6530064284807615,0.6518359427924305,OR,20.41126847267151,Moyen
0,0.590493136756482,0.4809752958123619,0.8361972547025929,0.6568899758624527,0.6584250566583447,OR,21.22687578201294,Fort
0,0.5890950686324352,0.48104366360221584,0.8356380274529741,0.658351525461561,0.6589166433864321,OR,23.67230534553528,Très Fort
0,0.5502033553634977,0.33870461423570786,0.8200813421453992,0.5899663920091393,0.6079994537353041,AS,16.661408185958862,Très Faible
0,0.5859176410777834,0.47323729194043834,0.8343670564311134,0.650188647146875,0.6485487316441993,AS,17.773301601409912,Faible
0,0.5912557193695984,0.48192168978313515,0.8365022877478394,0.6602067196318181,0.6548406467540928,AS,20.17858386039734,Moyen
0,0.5945602440264361,0.4901669998639414,0.8378240976105744,0.6657562385859572,0.6629557753674478,AS,19.962475061416626,Fort
0,0.5871886120996441,0.46523092560452284,0.8348754448398576,0.6457429799383207,0.6571002475593182,AS,26.339713096618652,Très Fort
0,0.5752414844941536,0.4380087611946447,0.8300965937976613,0.6309773956706046,0.6258961199963546,ORSP,19.089901447296143,Très Faible
0,0.5784189120488052,0.4676769456816885,0.831367564819522,0.6484019848016033,0.6455865187272889,ORSP,18.914485931396484,Faible
0,0.5926537874936452,0.4825905275612098,0.8370615149974581,0.6581757538193458,0.6587706397557928,ORSP,19.949180126190186,Moyen
0,0.592399593289273,0.4891819175897135,0.8369598373157092,0.6611326164366005,0.6640435162810263,ORSP,20.860443830490112,Fort
0,0.5949415353329944,0.48531756430720796,0.8379766141331979,0.658107430809691,0.6701491552262215,ORSP,27.15185856819153,Très Fort
0,0.5498220640569395,0.33006132746572475,0.8199288256227758,0.5814373791034261,0.5848622784392808,HIER,15.64632534980774,Très Faible
0,0.5699034062023386,0.412850410903663,0.8279613624809354,0.6261088740782972,0.6115140230616115,HIER,16.578031301498413,Faible
0,0.5679969496695475,0.4117967409900215,0.827198779867819,0.6274741068782183,0.6177596589833286,HIER,16.8923978805542,Moyen
0,0.5737163192679207,0.4773322239362785,0.8294865277071682,0.6544043199650538,0.6503162182882767,HIER,20.057803869247437,Fort
0,0.5639298423995933,0.47609692600410175,0.8255719369598372,0.6573181917882718,0.6467251184567457,HIER,28.841447591781616,Très Fort
