,F1 Micro,F1 Macro,ACC MACRO,AUNU,AUNP,model,time,type_parm
0,0.5932203389830508,0.4597239066204584,0.8372881355932205,0.6834282767721025,0.6928193499622071,MultiClass,3.1298980712890625,Très Faible
0,0.8779661016949153,0.8627149332982356,0.9511864406779662,0.9079628227228069,0.9196718046917449,MultiClass,3.3269662857055664,Faible
0,0.9694915254237289,0.9699404441105564,0.9877966101694916,0.9813016259696502,0.9798252069189257,MultiClass,3.6760759353637695,Moyen
0,0.9694915254237289,0.9713384729810578,0.9877966101694915,0.981770054018836,0.9796673471648547,MultiClass,4.450072526931763,Fort
0,0.9694915254237289,0.9713384729810578,0.9877966101694915,0.981770054018836,0.9796673471648547,MultiClass,5.657382965087891,Très Fort
0,0.8576271186440678,0.8629553828301926,0.9430508474576271,0.8867438794726932,0.8888888888888888,OR,12.33974575996399,Très Faible
0,0.9627118644067797,0.9611421446407056,0.9850847457627119,0.9759119405286188,0.9753767797137689,OR,12.72599983215332,Faible
0,0.9457627118644067,0.951700160248015,0.9783050847457627,0.968982918342336,0.9637809172633273,OR,12.709740161895752,Moyen
0,0.9627118644067797,0.9630030473727953,0.9850847457627119,0.9780739160177448,0.9759036382914749,OR,13.252281665802002,Fort
0,0.9593220338983051,0.9638187690582404,0.9837288135593221,0.975544440950882,0.9717308392283468,OR,13.380213499069214,Très Fort
0,0.5559322033898305,0.3742091532262323,0.8223728813559322,0.6412453591606134,0.675040355125101,AS,19.333316802978516,Très Faible
0,0.9525423728813559,0.9524614032886005,0.9810169491525425,0.9699708706564742,0.9688629877563077,AS,11.393381595611572,Faible
0,0.9661016949152542,0.9648300961866566,0.9864406779661017,0.9775525783635418,0.9773375640274942,AS,11.722294092178345,Moyen
0,0.9661016949152542,0.9677067944143142,0.9864406779661017,0.9793463252052768,0.977548703097058,AS,11.729926586151123,Fort
0,0.9694915254237289,0.9728534422929455,0.9877966101694915,0.9824697670490574,0.9791404885871485,AS,12.843264818191528,Très Fort
0,0.9322033898305084,0.9352699503514256,0.9728813559322035,0.9558592505260641,0.9529099398704868,ORSP,12.442580461502075,Très Faible
0,0.9423728813559322,0.9383688612573342,0.976949152542373,0.9645178890161047,0.9635320418186106,ORSP,12.561691522598267,Faible
0,0.9627118644067797,0.9611874111880395,0.9850847457627119,0.9751288495499825,0.9752189199596976,ORSP,13.017245531082153,Moyen
0,0.9694915254237289,0.9712312825926297,0.9877966101694915,0.9809131632754726,0.9791404885871485,ORSP,12.675657510757446,Fort
0,0.9694915254237289,0.9728534422929455,0.9877966101694915,0.9824697670490574,0.9791404885871485,ORSP,14.406616926193237,Très Fort
0,0.6135593220338983,0.44769650691809487,0.8454237288135594,0.7105233426704014,0.7251167133520074,HIER,10.239678144454956,Très Faible
0,0.7830508474576271,0.6714906407878589,0.9132203389830508,0.8292825505428694,0.8604501687680721,HIER,10.20590591430664,Faible
0,0.6677966101694915,0.6143645948019885,0.8671186440677966,0.7514800070687409,0.741425459072518,HIER,10.698405981063843,Moyen
0,0.9694915254237289,0.9713384729810578,0.9877966101694915,0.981770054018836,0.9796673471648547,HIER,10.975189924240112,Fort
0,0.9661016949152542,0.9686616683774314,0.9864406779661017,0.9795460382354981,0.977021844519352,HIER,12.488953351974487,Très Fort
