,F1 Micro,F1 Macro,ACC MACRO,AUNU,AUNP,model,time,type_parm
0,0.9471910112359551,0.9456157070832749,0.978876404494382,0.9653908757316861,0.9668523403992796,MultiClass,6.24462628364563,Très Faible
0,0.9595505617977528,0.9587740162308054,0.9838202247191011,0.9741999272402386,0.9746767606449684,MultiClass,6.531747102737427,Faible
0,0.9707865168539326,0.9698041409960915,0.988314606741573,0.9812295891441559,0.9818339205675122,MultiClass,7.764062166213989,Moyen
0,0.9719101123595506,0.9714009067618639,0.9887640449438203,0.9821594485264239,0.9824702764760794,MultiClass,9.636425971984863,Fort
0,0.9696629213483146,0.9691999049593155,0.987865168539326,0.9806479829292876,0.9810125505285576,MultiClass,8.87840461730957,Très Fort
0,0.9685393258426966,0.9680200435207054,0.9874157303370786,0.9797415720046182,0.9802406956372771,OR,30.870792388916016,Très Faible
0,0.9719101123595506,0.9713002899779418,0.9887640449438202,0.9820272219464019,0.982463753245925,OR,20.343195915222168,Faible
0,0.9685393258426966,0.9682017235648793,0.9874157303370786,0.9798948095558219,0.9802406956372772,OR,19.937432527542114,Moyen
0,0.9685393258426966,0.9679617813917079,0.9874157303370786,0.9798366994302479,0.9803144643661763,OR,18.904070138931274,Fort
0,0.9719101123595506,0.9712667635909149,0.9887640449438203,0.9820927400173458,0.9825010532874591,OR,19.02523708343506,Très Fort
0,0.9640449438202248,0.9632523970486984,0.98561797752809,0.9772534896937495,0.9775962417076594,AS,16.936371326446533,Très Faible
0,0.9696629213483146,0.9690757234511569,0.9878651685393258,0.9806035900374225,0.9810433273399373,AS,17.644741773605347,Faible
0,0.9685393258426966,0.9679617813917079,0.9874157303370786,0.9798366994302479,0.9803144643661763,AS,15.722093105316162,Moyen
0,0.9651685393258427,0.9646544308945098,0.9860674157303372,0.9776041128355596,0.9781335673208789,AS,18.043997049331665,Fort
0,0.9696629213483146,0.9689648242266354,0.9878651685393258,0.9806121884209261,0.9810863192574568,AS,18.459347009658813,Très Fort
0,0.9696629213483146,0.9691360748145005,0.9878651685393258,0.9805084626117926,0.9809695586110381,ORSP,18.61978316307068,Très Faible
0,0.9696629213483146,0.9690757234511569,0.9878651685393258,0.9806035900374225,0.9810433273399373,ORSP,19.33294439315796,Faible
0,0.9707865168539326,0.9701719114705005,0.988314606741573,0.9813481650273841,0.9817721903136982,ORSP,19.79942512512207,Moyen
0,0.9696629213483146,0.9690757234511569,0.9878651685393258,0.9806035900374225,0.9810433273399373,ORSP,19.972103357315063,Fort
0,0.9651685393258427,0.9646780356310636,0.9860674157303372,0.9776041128355596,0.9781335673208789,ORSP,18.92602849006653,Très Fort
0,0.45617977528089887,0.28747677443329617,0.7824719101123596,0.628465671983079,0.6472303206997084,HIER,15.737694263458252,Très Faible
0,0.7921348314606742,0.7004808973521944,0.9168539325842696,0.8564270911856002,0.8719593703935526,HIER,16.303401947021484,Faible
0,0.6247191011235955,0.47735515077196383,0.8498876404494382,0.7433790060291835,0.7672648786841351,HIER,16.489519357681274,Moyen
0,0.9696629213483146,0.9689095134868199,0.9878651685393258,0.9806430303499164,0.9810993657177656,HIER,28.484198093414307,Fort
0,0.9730337078651685,0.9725230326618328,0.9892134831460675,0.9829334887276182,0.9831757172227844,HIER,18.42755651473999,Très Fort
