,F1 Micro,F1 Macro,ACC MACRO,AUNU,AUNP,model,time,type_parm
0,0.730354774535809,0.6071610653054187,0.8651773872679046,0.7629935328828119,0.7947991117889635,MultiClass,11.55871868133545,Très Faible
0,0.8187168435013262,0.7984202728649668,0.9093584217506631,0.8596825067605884,0.8578576562693214,MultiClass,11.406266927719116,Faible
0,0.823856100795756,0.8055148647956887,0.9119280503978779,0.8660628784873985,0.8638219320818886,MultiClass,13.063714265823364,Moyen
0,0.8259283819628647,0.8107107222920762,0.9129641909814323,0.8770587283046781,0.872117398439455,MultiClass,16.694225549697876,Fort
0,0.8226127320954907,0.8077724642684241,0.9113063660477454,0.876753458913341,0.8709268774690692,MultiClass,23.30921196937561,Très Fort
0,0.819131299734748,0.7987544784382357,0.9095656498673741,0.8605871554239035,0.8592620030833183,OR,22.544020891189575,Très Faible
0,0.8240218832891246,0.803694051945794,0.9120109416445623,0.8619157774487824,0.8612482119533946,OR,22.62086772918701,Faible
0,0.8255139257294429,0.8062490832363036,0.9127569628647214,0.8653998280770987,0.8638923880261489,OR,22.544772386550903,Moyen
0,0.8276690981432361,0.8103904337486534,0.913834549071618,0.871352634408639,0.8684422393319549,OR,24.808080911636353,Fort
0,0.8279177718832891,0.8123052332137191,0.9139588859416445,0.8775290252850266,0.8727289328037978,OR,26.88468313217163,Très Fort
0,0.8098474801061007,0.7847402649739691,0.9049237400530503,0.8464780214171239,0.847704623474024,AS,19.899539709091187,Très Faible
0,0.8236903183023873,0.8062929687923197,0.9118451591511936,0.8718631959376888,0.8685269810632106,AS,20.632054805755615,Faible
0,0.8236074270557029,0.8055254860475748,0.9118037135278514,0.8693761441508545,0.8655978167518346,AS,22.11065173149109,Moyen
0,0.8254310344827587,0.8081144124403679,0.9127155172413793,0.8706938898344703,0.8674770968075723,AS,24.33376955986023,Fort
0,0.8243534482758621,0.8057899822399166,0.912176724137931,0.8665861150660847,0.8631723484903362,AS,30.053773164749146,Très Fort
0,0.8165616710875332,0.7945721955586469,0.9082808355437666,0.856714050793941,0.8564463011363859,ORSP,31.71059775352478,Très Faible
0,0.8211206896551724,0.7999323339334019,0.9105603448275863,0.8593313172200303,0.8586635618125624,ORSP,22.487193822860718,Faible
0,0.8263428381962865,0.8078947819500115,0.9131714190981431,0.8667570429730003,0.8643956092536692,ORSP,24.645304203033447,Moyen
0,0.8255139257294429,0.8049309437357619,0.9127569628647214,0.8596165073168192,0.8591348300699987,ORSP,25.151147603988647,Fort
0,0.8229442970822282,0.802280896410996,0.911472148541114,0.8595581566092012,0.8589486106606985,ORSP,33.920074701309204,Très Fort
0,0.6816976127320955,0.5536308139474702,0.8408488063660478,0.7120711440611589,0.7078552040359514,HIER,19.03253960609436,Très Faible
0,0.7604442970822282,0.7089532738014331,0.880222148541114,0.7980526360594813,0.7994977381544963,HIER,19.962377786636353,Faible
0,0.8057029177718833,0.7819842355849527,0.9028514588859415,0.8532154717668138,0.8535684213773528,HIER,20.5164053440094,Moyen
0,0.8230271883289124,0.8042152570360281,0.9115135941644562,0.8651220103104649,0.8633012698392832,HIER,24.02352786064148,Fort
0,0.8234416445623343,0.803739575662424,0.9117208222811672,0.8608250371003565,0.8593732805483729,HIER,34.16237020492554,Très Fort
